Date,Open,High,Low,Close,Adj Close,Volume
,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,,BOSCHLTD.NS
2015-11-20,17232.85677697913,17613.747552785604,16778.317150380826,17277.93359375,,61157
2015-11-23,17324.461890230436,17414.25413813017,17142.156417221886,17245.599609375,,13627
2015-11-24,16914.504051761694,16959.853679226333,16589.074416487503,16721.087890625,,60582
2015-11-26,16688.705343808513,16915.407373722723,16428.125732353685,16731.333984375,,38416
2015-11-27,16824.71046262922,17232.857077625617,16679.318859854855,17108.689453125,,36665
2015-11-30,17141.069735454486,17285.371880905226,16824.71005822465,16980.349609375,,43408
2015-12-01,17096.805606494236,17142.15522348759,16888.19736832481,16953.546875,,33294
2015-12-02,16872.012486923657,16948.83405036521,16724.94328481876,16864.439453125,,31061
2015-12-03,16863.708946028666,16897.17731839971,16671.42656574802,16773.599609375,,18003
2015-12-04,16773.46742660589,16818.090753348668,16615.51431310768,16667.212890625,,13001
2015-12-07,16734.009635502847,16933.54796177985,16688.66001589444,16775.77734375,,12853
2015-12-08,16779.359184075744,16897.268194558437,16693.87515147579,16787.794921875,,8937
2015-12-09,16787.79210776968,16811.962033691467,16607.118191418976,16636.09765625,,13726
2015-12-10,16688.66021572198,17006.107556781906,16625.487840557143,16864.1171875,,13044
2015-12-11,17027.69510914228,17027.69510914228,16383.774773674608,16527.169921875,,14380
2015-12-14,16642.26722382112,16734.00985981259,16330.398239887574,16518.099609375,,16082
2015-12-15,16489.125255992334,17142.15991959599,16439.51346999818,17088.103515625,,27036
2015-12-16,17142.15953557899,17334.44195999924,16906.65856099861,16977.267578125,,19315
2015-12-17,17142.151964971756,17214.711338368463,16507.25744775058,16635.55078125,,27310
2015-12-18,16598.867022210805,16778.451507779777,16466.446138912474,16521.365234375,,34004
2015-12-21,16688.569848328447,16688.569848328447,16529.936522958247,16586.533203125,,11981
2015-12-22,16670.52102392437,16779.36011657241,16210.721915696195,16358.515625,,46292
2015-12-23,16597.057114758394,16597.057114758394,16441.644291468136,16523.046875,,9022
2015-12-24,16516.33165141237,16643.310587776876,16452.842183230114,16512.0234375,,6130
2015-12-28,16552.610319789,16734.008789046962,16552.610319789,16698.36328125,,12711
2015-12-29,16724.033012679585,16892.506852481376,16661.857974517538,16824.482421875,,8684
2015-12-30,16802.036698228818,16959.853399200034,16647.530874301818,16846.525390625,,11524
2015-12-31,16851.921346914194,16997.0862111304,16824.711570788928,16913.55078125,,21369
2016-01-01,16915.412120054865,17504.95731458761,16842.852711496987,17413.44140625,,19323
2016-01-04,17413.35152076381,17613.79689219403,16997.041903177967,17065.65625,,21211
2016-01-05,17142.11051884417,17260.83617980137,16844.663066085726,16899.716796875,,18359
2016-01-06,16871.921978353148,17139.5290753592,16842.761812703815,16980.48828125,,14987
2016-01-07,16978.901582582945,16978.901582582945,16461.915797215835,16604.267578125,,21853
2016-01-08,16690.20297675188,16779.361047011178,16461.91367585151,16528.66796875,,13280
2016-01-11,16489.123903454252,16588.893079987804,16292.21618297153,16424.18359375,,10744
2016-01-12,16507.265023875138,16561.185024389895,16344.006358803845,16445.453125,,17092
2016-01-13,16570.754358791473,16600.86580371813,16159.886721980716,16327.5439453125,,26593
2016-01-14,16262.37165204294,16498.77954516028,15992.722137423296,16371.6181640625,,18408
2016-01-15,16334.932938973521,16504.63086079744,16146.73201810528,16205.6865234375,,64885
2016-01-18,16206.140865364408,16410.21416370261,16053.812194148244,16184.373046875,,13944
